Subtype	Cluster	Cell	Score	Celltype
N	N_ST_P1_Cluster8	Intermediate Monocyte	0.00194812789332357	Immune
N	N_ST_P1_Cluster8	Basophil/Mast 2	0.0177451445691233	Immune
N	N_ST_P1_Cluster8	Signaling Alveolar Epithelial Type 2	0.000308920934017192	Epithelial
N	N_ST_P1_Cluster8	Proximal Basal	0	Epithelial
N	N_ST_P1_Cluster8	Neuroendocrine	2.08171870905713e-05	Epithelial
N	N_ST_P1_Cluster8	Fibromyocyte	9.40649950689242e-05	Stroma
N	N_ST_P1_Cluster8	Ionocyte	0.000128858204907526	Epithelial
N	N_ST_P1_Cluster8	Serous	0	Epithelial
N	N_ST_P1_Cluster8	Proximal Ciliated	0	Epithelial
N	N_ST_P1_Cluster8	Goblet	0.000424367007077863	Epithelial
N	N_ST_P1_Cluster8	Neutrophil	1.588609540367e-06	Immune
N	N_ST_P1_Cluster8	Dendritic	0	Immune
MP	MP_49_3_Cluster7	CD4+ Memory/Effector T	0.0868718508953836	Immune
MP	MP_49_3_Cluster7	CD4+ Naive T	0.0213052126010114	Immune
MP	MP_49_3_Cluster7	CD8+ Memory/Effector T	0.0126922230551329	Immune
MP	MP_49_3_Cluster7	CD8+ Naive T	0.0161534162305659	Immune
MP	MP_49_3_Cluster7	Natural Killer	0.0886832047041879	Immune
MP	MP_49_3_Cluster7	Classical Monocyte	0.0369795854169707	Immune
MP	MP_49_3_Cluster7	Nonclassical Monocyte	0.021719444847083	Immune
MP	MP_49_3_Cluster7	Myeloid Dendritic Type 2	0.000110843764565276	Immune
MP	MP_49_3_Cluster7	Platelet/Megakaryocyte	0.0084592680291585	Immune
MP	MP_49_3_Cluster7	B	0.0019671845339357	Immune
MP	MP_49_3_Cluster7	IGSF21+ Dendritic	0.00183620280676608	Immune
MP	MP_49_3_Cluster7	EREG+ Dendritic	0	Immune
MP	MP_49_3_Cluster7	Plasmacytoid Dendritic	0.0018563373193597	Immune
MP	MP_49_3_Cluster7	Myeloid Dendritic Type 1	0.00130504878860828	Immune
