CellName	Cluster	Score	Sample
Epithelial_Differentiating Basal	S_Demo_Cluster6	0.016951777	Demo
Epithelial_Differentiating Basal	S_Demo_Cluster7	0.016727379	Demo
Epithelial_Differentiating Basal	PA_Demo_Cluster8	0.056205402	Demo
Epithelial_Differentiating Basal	MP_Demo_Cluster9	0.001473753	Demo
Immune_EREG+ Dendritic	MP_PA_Demo_Cluster0	0.00155406	Demo
Immune_EREG+ Dendritic	PA_Demo_Cluster1	0.000161566	Demo
Immune_EREG+ Dendritic	MP_Demo_Cluster2	0.015090208	Demo
Immune_EREG+ Dendritic	S_Demo_Cluster3	0.002055719	Demo
Immune_EREG+ Dendritic	S_Demo_Cluster4	0.008524043	Demo
Immune_EREG+ Dendritic	S_Demo_Cluster5	0.001900289	Demo
Immune_EREG+ Dendritic	S_Demo_Cluster6	0.00243161	Demo
Immune_EREG+ Dendritic	S_Demo_Cluster7	0.004385987	Demo
Immune_EREG+ Dendritic	PA_Demo_Cluster8	0	Demo
Immune_EREG+ Dendritic	MP_Demo_Cluster9	0.000984314	Demo
Stroma_Fibromyocyte	MP_PA_Demo_Cluster0	0.001010245	Demo
Stroma_Fibromyocyte	PA_Demo_Cluster1	0.001010519	Demo
Stroma_Fibromyocyte	MP_Demo_Cluster2	0.001149203	Demo
Stroma_Fibromyocyte	S_Demo_Cluster3	0.003240274	Demo
Stroma_Fibromyocyte	S_Demo_Cluster4	0.003134818	Demo
Stroma_Fibromyocyte	S_Demo_Cluster5	0.036101325	Demo
Stroma_Fibromyocyte	S_Demo_Cluster6	0.018667089	Demo
Stroma_Fibromyocyte	S_Demo_Cluster7	0.00043615	Demo
Stroma_Fibromyocyte	PA_Demo_Cluster8	0	Demo
Stroma_Fibromyocyte	MP_Demo_Cluster9	2.38E-05	Demo
Epithelial_Goblet	MP_PA_Demo_Cluster0	0	Demo
Epithelial_Goblet	PA_Demo_Cluster1	0.021817768	Demo
Epithelial_Goblet	MP_Demo_Cluster2	0	Demo
Epithelial_Goblet	S_Demo_Cluster3	0	Demo
Epithelial_Goblet	S_Demo_Cluster4	0.012420956	Demo
Epithelial_Goblet	S_Demo_Cluster5	0	Demo
Epithelial_Goblet	S_Demo_Cluster6	0	Demo
Epithelial_Goblet	S_Demo_Cluster7	0.000491016	Demo
Epithelial_Goblet	PA_Demo_Cluster8	0.030430155	Demo
Epithelial_Goblet	MP_Demo_Cluster9	0.003305412	Demo
Immune_IGSF21+ Dendritic	MP_PA_Demo_Cluster0	0.004795745	Demo
Immune_IGSF21+ Dendritic	PA_Demo_Cluster1	0.0012154	Demo
Immune_IGSF21+ Dendritic	MP_Demo_Cluster2	0.017987914	Demo
Immune_IGSF21+ Dendritic	S_Demo_Cluster3	0.000921619	Demo
Immune_IGSF21+ Dendritic	S_Demo_Cluster4	0.032638412	Demo
Immune_IGSF21+ Dendritic	S_Demo_Cluster5	0.005955219	Demo
Immune_IGSF21+ Dendritic	S_Demo_Cluster6	0.009847661	Demo
Immune_IGSF21+ Dendritic	S_Demo_Cluster7	0.004046926	Demo
Immune_IGSF21+ Dendritic	PA_Demo_Cluster8	0	Demo
Immune_IGSF21+ Dendritic	MP_Demo_Cluster9	0.000406222	Demo
Immune_Intermediate Monocyte	MP_PA_Demo_Cluster0	0.001579982	Demo
Immune_Intermediate Monocyte	PA_Demo_Cluster1	0.000410392	Demo
Immune_Intermediate Monocyte	MP_Demo_Cluster2	0.000650252	Demo
Immune_Intermediate Monocyte	S_Demo_Cluster3	3.35E-06	Demo
Immune_Intermediate Monocyte	S_Demo_Cluster4	0.000118507	Demo
Immune_Intermediate Monocyte	S_Demo_Cluster5	0	Demo
Immune_Intermediate Monocyte	S_Demo_Cluster6	0.004496615	Demo
Immune_Intermediate Monocyte	S_Demo_Cluster7	1.89E-05	Demo
Immune_Intermediate Monocyte	PA_Demo_Cluster8	0	Demo
Immune_Intermediate Monocyte	MP_Demo_Cluster9	5.51E-05	Demo
Epithelial_Ionocyte	MP_PA_Demo_Cluster0	0.005486063	Demo
Epithelial_Ionocyte	PA_Demo_Cluster1	0	Demo
Epithelial_Ionocyte	MP_Demo_Cluster2	0	Demo
Epithelial_Ionocyte	S_Demo_Cluster3	0	Demo
Epithelial_Ionocyte	S_Demo_Cluster4	0.000113156	Demo
Epithelial_Ionocyte	S_Demo_Cluster5	8.46E-05	Demo
Epithelial_Ionocyte	S_Demo_Cluster6	0	Demo
Epithelial_Ionocyte	S_Demo_Cluster7	0	Demo
Epithelial_Ionocyte	PA_Demo_Cluster8	0	Demo
Epithelial_Ionocyte	MP_Demo_Cluster9	0.008568452	Demo
Stroma_Lipofibroblast	MP_PA_Demo_Cluster0	0	Demo
Stroma_Lipofibroblast	PA_Demo_Cluster1	0	Demo
Stroma_Lipofibroblast	MP_Demo_Cluster2	0	Demo
Stroma_Lipofibroblast	S_Demo_Cluster3	1.31E-05	Demo
Stroma_Lipofibroblast	S_Demo_Cluster4	0.000153804	Demo
Stroma_Lipofibroblast	S_Demo_Cluster5	0.013971824	Demo
Stroma_Lipofibroblast	S_Demo_Cluster6	9.59E-06	Demo
Stroma_Lipofibroblast	S_Demo_Cluster7	0	Demo
Stroma_Lipofibroblast	PA_Demo_Cluster8	0	Demo
Stroma_Lipofibroblast	MP_Demo_Cluster9	0	Demo
Endothelial_Lymphatic	MP_PA_Demo_Cluster0	0.082857572	Demo
Endothelial_Lymphatic	PA_Demo_Cluster1	0.009033984	Demo
Endothelial_Lymphatic	MP_Demo_Cluster2	0.016966202	Demo
Endothelial_Lymphatic	S_Demo_Cluster3	0.009692284	Demo
Endothelial_Lymphatic	S_Demo_Cluster4	0.017809123	Demo
Endothelial_Lymphatic	S_Demo_Cluster5	0.012252758	Demo
Endothelial_Lymphatic	S_Demo_Cluster6	0.007072584	Demo
Endothelial_Lymphatic	S_Demo_Cluster7	2.88E-05	Demo
Endothelial_Lymphatic	PA_Demo_Cluster8	0.002117877	Demo
Endothelial_Lymphatic	MP_Demo_Cluster9	0.042781016	Demo
Immune_Macrophage	MP_PA_Demo_Cluster0	0.048454664	Demo
Immune_Macrophage	PA_Demo_Cluster1	0.01528204	Demo
Immune_Macrophage	MP_Demo_Cluster2	0.523254324	Demo
Immune_Macrophage	S_Demo_Cluster3	0.126703538	Demo
Immune_Macrophage	S_Demo_Cluster4	0.064137451	Demo
Immune_Macrophage	S_Demo_Cluster5	0.102056862	Demo
Immune_Macrophage	S_Demo_Cluster6	0.348592822	Demo
Immune_Macrophage	S_Demo_Cluster7	0.019106778	Demo
Immune_Macrophage	PA_Demo_Cluster8	0.000499097	Demo
Immune_Macrophage	MP_Demo_Cluster9	0.039999898	Demo
Stroma_Mesothelial	MP_PA_Demo_Cluster0	9.37E-05	Demo
Stroma_Mesothelial	PA_Demo_Cluster1	0	Demo
Stroma_Mesothelial	MP_Demo_Cluster2	0	Demo
Stroma_Mesothelial	S_Demo_Cluster3	0.003542907	Demo
Stroma_Mesothelial	S_Demo_Cluster4	0.001142255	Demo
Stroma_Mesothelial	S_Demo_Cluster5	0.001939218	Demo
Stroma_Mesothelial	S_Demo_Cluster6	0.000133777	Demo
Stroma_Mesothelial	S_Demo_Cluster7	0.00205283	Demo
Stroma_Mesothelial	PA_Demo_Cluster8	0	Demo
Stroma_Mesothelial	MP_Demo_Cluster9	0	Demo
Epithelial_Mucous	MP_PA_Demo_Cluster0	0.000804217	Demo
Epithelial_Mucous	PA_Demo_Cluster1	0.178110761	Demo
Epithelial_Mucous	MP_Demo_Cluster2	0	Demo
Epithelial_Mucous	S_Demo_Cluster3	0	Demo
Epithelial_Mucous	S_Demo_Cluster4	0	Demo
Epithelial_Mucous	S_Demo_Cluster5	0	Demo
Epithelial_Mucous	S_Demo_Cluster6	0	Demo
Epithelial_Mucous	S_Demo_Cluster7	0.000150846	Demo
Epithelial_Mucous	PA_Demo_Cluster8	0.068128517	Demo
Epithelial_Mucous	MP_Demo_Cluster9	0.039141802	Demo
Immune_Myeloid Dendritic Type 1	MP_PA_Demo_Cluster0	0.00172926	Demo
Immune_Myeloid Dendritic Type 1	PA_Demo_Cluster1	4.40E-05	Demo
Immune_Myeloid Dendritic Type 1	MP_Demo_Cluster2	0.011774002	Demo
Immune_Myeloid Dendritic Type 1	S_Demo_Cluster3	0.013380984	Demo
Immune_Myeloid Dendritic Type 1	S_Demo_Cluster4	0.001550835	Demo
Immune_Myeloid Dendritic Type 1	S_Demo_Cluster5	0.005077988	Demo
Immune_Myeloid Dendritic Type 1	S_Demo_Cluster6	0.016925275	Demo
Immune_Myeloid Dendritic Type 1	S_Demo_Cluster7	0	Demo
Immune_Myeloid Dendritic Type 1	PA_Demo_Cluster8	0	Demo
Immune_Myeloid Dendritic Type 1	MP_Demo_Cluster9	0.019315387	Demo
Immune_Myeloid Dendritic Type 2	MP_PA_Demo_Cluster0	0.002485242	Demo
Immune_Myeloid Dendritic Type 2	PA_Demo_Cluster1	0	Demo
Immune_Myeloid Dendritic Type 2	MP_Demo_Cluster2	0.00274826	Demo
Immune_Myeloid Dendritic Type 2	S_Demo_Cluster3	0.000275011	Demo
Immune_Myeloid Dendritic Type 2	S_Demo_Cluster4	0.001154596	Demo
Immune_Myeloid Dendritic Type 2	S_Demo_Cluster5	0.000180067	Demo
